#
# Items Section...Format:
#    <group>, <subgroup>, <base cost>, <picture>, <name>
#
# The items' picture can be set to 0xffff if it is not known or if there
# are multiple pictures for it. Pictures are defined in more detail later
# on.
#
[items]
     0
     0,   0, 10,   0x7f2f, Indulcet
     0,   1, 10,   0x7f2f, Sursam
     0,   2, 10,   0x7f28, Quaesto Vil
     0,   3, 10,   0x7f2f, Aegrotat
     1,   0, 10,   0x6683, Glass Jar
     1,   1, 10,   0x668b, Glass Bottle
     1,   2, 10,   0x66ab, Decanter
     1,   3, 10,   0x6d00, Clay Jar
     1,   4, 10,   0x6692, Small Sack
     1,   5, 10,   0x6691, Large Sack
     1,   6, 10,   0x66aa, Quiver
     1,   7, 10,   0x66ac, Backpack
     1,   8, 10,   0x6695, Small Chest
     1,   9, 10,   0x6a81, Wine Rack
     1,  10, 10,   0x6698, Large Chest
     2,   0, 100,  0xffff, Cuirass
     2,   1, 50,   0xffff, Gauntlets w/Gold
     2,   2, 80,   0xffff, Greaves
     2,   3, 60,   0xffff, Left Pauldron
     2,   4, 60,   0xffff, Right Pauldron
     2,   5, 80,   0xffff, Helmet
     2,   6, 50,   0xffff, Boots
     2,   7, 10,   0xffff, Buckler
     2,   8, 20,   0xffff, Round Shield
     2,   9, 30,   0xffff, Kite Shield
     2,  10, 50,   0xffff, Tower Shield
     3,   0,  8,   0xffff, Dagger
     3,   1,  3,   0xffff, Tanto
     3,   2, 10,   0x7515, Staff
     3,   3,  8,   0xffff, Shortsword
     3,   4,  8,   0xffff, Wakazashi
     3,   5, 10,   0xffff, Broadsword
     3,   6, 12,   0xffff, Saber
     3,   7, 15,   0xffff, Longsword
     3,   8, 25,   0xffff, Katana
     3,   9, 30,   0x7504, Claymore
     3,  10, 50,   0x7507, Dai-Katana
     3,  11, 10,   0xffff, Mace
     3,  12, 15,   0x7508, Flail
     3,  13, 20,   0x7519, Warhammer
     3,  14, 20,   0xffff, Battle Axe
     3,  15, 20,   0x7518, War Axe
     3,  16, 10,   0x7510, Short Bow
     3,  17, 20,   0x750b, Long Bow
     3,  18, 10,   0x6790, Arrow
     4,  -1, 10,   0xffff, Random Magic Item
     5,   0, 10,   0xd80c, Masque of Clavicus
     5,   1, 10,   0xd80d, Mehrune's Razor
     5,   2, 10,   0xd80a, Mace of Molag Bal
     5,   3, 10,   0xd808, Hircine Ring
     5,   4, 10,   0xd813, Sanguine Rose
     5,   5, 10,   0xd810, Oghma Infinium
     5,   6, 10,   0xd819, Wabbajack
     5,   7, 10,   0xd812, Ring of Namira
     5,   8, 10,   0xd815, Skull of Corruption
     5,   9, 10,   0xd802, Azura's Star
     5,  10, 10,   0xd818, Volendrung
     5,  11, 10,   0xd81a, Warlock's Ring
     5,  12, 10,   0xd800, Auriel's Bow
     5,  13, 10,   0xd80f, Necromancer's Amulet
     5,  14, 10,   0xd803, Chrysamere
     5,  15, 10,   0xd807, Lord's Mail
     5,  16, 10,   0xd817, Staff of Magnus
     5,  17, 10,   0xd811, Ring of Khajiit
     5,  18, 10,   0xd809, Ebony Mail
     5,  19, 10,   0xd801, Auriel's Shield
     5,  20, 10,   0xd816, Spell Breaker
     5,  21, 10,   0xd814, Skeleton's Key
     5,  22, 10,   0xd805, Ebony Blade
     6,   0, 10,   0xffff, Straps M/Buckle
     6,   1, 10,   0xffff, Armbands M
     6,   2, 10,   0xffff, Kimono M
     6,   3, 10,   0xffff, Armbands M/Fancy
     6,   4, 10,   0xffff, Sash M
     6,   5, 10,   0xffff, Eodoric M
     6,   6, 10,   0xffff, Shoes M
     6,   7, 10,   0xffff, Boots M/Tall
     6,   8, 10,   0xffff, Boots M
     6,   9, 10,   0xffff, Sandals M
     6,  10, 10,   0xffff, Pants M/Casual
     6,  11, 10,   0xffff, Breeches
     6,  12, 10,   0xffff, Skirt M/Short
     6,  13, 10,   0xffff, Cloak M/Casual1
     6,  14, 10,   0xffff, Cloak M/Formal
     6,  15, 10,   0xffff, Khajiit Suit M
     6,  16, 10,   0xffff, Dwynnen Surcoat M
     6,  17, 10,   0xffff, Tunic M/Short
     6,  18, 10,   0xffff, Tunic M/Formal
     6,  19, 10,   0xffff, Toga M
     6,  20, 10,   0xffff, Tunic M/Reversible
     6,  21, 10,   0xffff, Loincloth M
     6,  22, 10,   0xffff, Robes M/Plain/Hood
     6,  23, 10,   0xffff, Robes M/Priest
     6,  24, 10,   0xffff, Short Shirt M/Open
     6,  25, 10,   0xffff, Short Shirt M/Belt
     6,  26, 10,   0xffff, Long Shirt M/Open
     6,  27, 10,   0xffff, Long Shirt M/Open/Belt
     6,  28, 10,   0xffff, Short Shirt M/Closed
     6,  29, 10,   0xffff, Short Shirt M/Closed/Belt
     6,  30, 10,   0xffff, Long Shirt M/Closed
     6,  31, 10,   0xffff, Long Shirt M/Closed/Belt
     6,  32, 10,   0xffff, Open Tunic M
     6,  33, 10,   0xffff, Wrap M
     6,  34, 10,   0xffff, Long Skirt M
     6,  35, 10,   0xffff, Anticlere Surcoat M
     6,  36, 10,   0xffff, Challenger Straps M
     6,  37, 10,   0xffff, Short Shirt M/Unchangeable
     6,  38, 10,   0xffff, Long Shirt M/Unchangeable
     6,  39, 10,   0xffff, Vest M
     6,  40, 10,   0xffff, Champion Straps
     7,   0, 10,   0xdb10, Book Ogmha Type
     7,  -1, 10,   0x6882, Random Book
     8,  -1, 10,   0xffff, Unknown
     9,   0, 10,   0x6906, Torch
     9,   1, 10,   0x640a, Lantern
     9,   2, 10,   0x6980, Bandage
     9,   3, 10,   0x6683, Oil
     9,   4, 10,   0x6903, Candle
     9,   5, 10,   0x6888, Parchment
    10,   0, 10,   0x7f38, Prayer Beads
